[000:06:45;805] >> Reporter: THAT'S RIGHT DAVID.
[000:06:47;907] THE CRANE IS GOING TO LIFT
[000:06:48;508] LAYERS OF THAT BUILDING WHERE
[000:06:51;010] YOU SEE THAT SWARM OF RESCUERS.
[000:06:51;644] WHICH IS A SIGN THAT THIS COULD
[000:06:54;113] TURN FROM A RESCUE OPERATION TO
[000:06:54;747] A RECOVERY OPERATION.
[000:06:59;819] FOR DAYS WE HAVE BEEN ASKING
[000:07:00;420] MEXICAN OFFICIALS FOR THE LIST
[000:07:01;053] OF THE MISSING BUT IN THE SCOPE
[000:07:01;687] OF THIS DEVASTATION THEY SAY
[000:07:02;955] THEY STILL DON'T HAVE ONE.
[000:07:03;489] DAVID.
[000:07:03;990] >> MATT GUTMAN ON THE SCENE.
[000:07:04;557] THANK YOU.
[000:07:07;093] THE MAJOR HEADLINE, A MAJOR BLOW
[000:07:09;695] IN THE NEW EFFORT TO KILL
[000:07:11;798] OBAMACARE AND IT COMES FROM THE
[000:07:12;832] SAME SENATOR WHO KILLED THE
[000:07:15;768] REPEAL THE LAST TIME.
[000:07:16;235] SENATOR JOHN MCCAIN DECLARING HE
[000:07:17;503] WILL VOTE NO.
[000:07:19;071] MARY BRUCE WITH THE TWO KEY
[000:07:21;174] SENATORS WHO WILL BREAK OR MAKE
[000:07:22;742] THIS REPEAL.
[000:07:24;310] WHERE DO THEY STAND TONIGHT.
[000:07:25;878] >> Reporter: IT'S BEEN JUST
[000:07:26;446] EIGHT WEEKS SINCE THE COUNTRY
[000:07:28;448] WATCHED JOHN MCCAIN WALK ONTO
[000:07:30;516] THE SENATE FLOOR, SHOCKING HIS
[000:07:32;084] OWN PARTY, WITH THIS DEFIANT
[000:07:33;119] THUMBS DOWN.
[000:07:33;419] [ GASPS ]
[000:07:37;790] >> Reporter: HIS VOTE
[000:07:38;357] DELIVERING THE FINAL BLOW TO THE
[000:07:39;725] PRESIDENT'S ATTEMPT TO REPEAL
[000:07:41;394] AND REPLACE OBAMACARE.
[000:07:43;529] TONIGHT, WITH ONE MORE CHANCE AT
[000:07:44;564] A REPEAL BEFORE NEXT WEEK'S
[000:07:46;098] DEADLINE, JOHN MCCAIN STUNNING
[000:07:48;167] THE PARTY AGAIN.
[000:07:50;269] ANNOUNCING TODAY, "I CANNOT IN
[000:07:52;338] GOOD CONSCIENCE VOTE FOR" THE
[000:07:52;939] LATEST REPUBLICAN PLAN.
[000:07:54;974] HE SAYS A "BILL OF THIS IMPACT
[000:07:57;577] REQUIRES A BIPARTISAN APPROACH."
[000:07:58;611] MCCAIN MIGHT HAVE JUST KILLED
[000:08:00;713] THIS NEW REPEAL, BECAUSE THEY
[000:08:02;281] CAN ONLY AFFORD TO LOSE TWO
[000:08:02;849] VOTES.
[000:08:05;418] RAND PAUL HAS ALREADY SAID NO.
[000:08:07;553] AND MCCAIN DID THIS, EVEN THOUGH
[000:08:09;121] HIS OWN BEST FRIEND IN THE
[000:08:11;123] SENATE, LINDSEY GRAHAM IS ONE OF
[000:08:11;757] THE ARCHITECTS.
[000:08:12;692] >> I DON'T EXPECT HIM TO VOTE
[000:08:16;462] HIM TO VOTE FOR WHAT'S BEST FOR
[000:08:17;096] THE COUNTRY.
[000:08:18;397] >> Reporter: THE BILL WOULD GIVE
[000:08:20;466] STATES MORE FLEXIBILITY TO CRAFT
[000:08:21;100] THEIR OWN HEALTH COVERAGE, BUT
[000:08:23;069] WITH FAR LESS FEDERAL FUNDING.
[000:08:24;670] AND WITH NO GUARANTEE OF HOW
[000:08:29;308] THEY WOULD COVER AMERICANS WITH
[000:08:29;942] PRE EXISTING CONDITIONS.
[000:08:30;443] EXPERTS SAY IT COULD LEAVE
[000:08:31;944] MILLIONS MORE WITHOUT INSURANCE.
[000:08:34;514] ALL EYES NOW ON TWO KEY
[000:08:35;081] SENATORS.
[000:08:37;116] SENATOR SUSAN COLLINS OF MAINE,
[000:08:38;718] AND LISA MURKOWSKI OF ALASKA.
[000:08:41;287] COLLINS TONIGHT IS LEANING NO.
[000:08:42;855] >> I JUST HAVE TO DO WHAT'S
[000:08:45;958] RIGHT OF THE PEOPLE OF MAINE AND
[000:08:50;129] OUR COUNTRY, AND IF I DON'T DO
[000:08:53;332] THAT I CAN'T LOOK AT MYSELF IN
[000:08:53;966] THE MIRROR.
[000:08:55;334] >> Reporter: AND OUTSIDE
[000:09:01;040] MURKOWSKI'S OFFICE PROTESTERS
[000:09:01;641] CAMPED OUT URGING HER TO PROTEST
[000:09:03;709] THIS BILL LIKE SHE DID THE LAST
[000:09:04;343] TIME.
[000:09:05;211] >> I SAID IN JANUARY WE SHOULD
[000:09:06;279] NOT REPEAL WITHOUT A
[000:09:06;746] REPLACEMENT.
[000:09:12;485] JUST AN INDEFINITE HOLD ON THIS
[000:09:14;554] JUST CREATES MORE CHAOS AND
[000:09:15;121] CONFUSION.
[000:09:17;156] >>> MARY BRUCE BACK WITH US FROM
