[000:04:48;688] THIS PLANE IS GOING TO
[000:04:49;489] TAKE OFF NOW, HEAD
[000:04:50;223] OVER TO TEXAS, PICK UP
[000:04:50;990] PALLETS OF WATER AND
[000:04:51;758] COME BACK.
[000:04:52;325] HANS NICHOLS, NBC
[000:04:53;660] NEWS, ST. THOMAS, THE
[000:04:55;194] VIRGIN ISLAND.
[000:04:55;828] >>> A STRONG
[000:04:57;797] AFTERSHOCK SENT WAVES
[000:04:58;831] THROUGH MEXICO TODAY.
[000:05:03;536] THE SHAKING WAS FELT
[000:05:04;570] HUNDREDS OF MILES AWAY
[000:05:07;674] IN MEXICO CITY, WHERE
[000:05:10;810] THE SEARCH FOR
[000:05:14;447] SURVIVORS CONTINUES,
[000:05:15;481] FOUR DAYS AFTER
[000:05:16;149] HUNDREDS WERE KILLED.
[000:05:16;916] MIGUEL ALMAGUER
[000:05:17;583] REMAINS ON THE GROUND
[000:05:18;351] FOR US.
[000:05:18;885] >> Reporter: EMERGENCY
[000:05:19;652] SIRENS REMIND RESCUE
[000:05:20;420] TEAMS THEY'RE ON SHAKY
[000:05:22;755] GROUND.
[000:05:24;857] A POWERFUL SHALLOW 6.2
[000:05:26;426] AFTERSHOCK, FORCING
[000:05:27;160] FIRST RESPONDERS TO
[000:05:30;063] TEMPORARILY STOP THEIR
[000:05:33;166] DESPERATE SEARCHES IN
[000:05:34;734] MEXICO CITY.
[000:05:35;335] A JARRING REMINDER OF
[000:05:36;102] TUESDAY'S TREMOR,
[000:05:36;803] KILLED MORE THAN 300.
[000:05:38;871] >> ALL OF A SUDDEN,
[000:05:40;973] THE FLOORS STARTED
[000:05:41;708] PANCAKING.
[000:05:42;275] BOOM, BOOM, BOOM.
[000:05:44;077] >> Reporter: WESLEY
[000:05:46;179] BOXY AND HIS WIFE
[000:05:46;879] ELIZABETH MADE IT TO
[000:05:47;714] THE ROOF OF THEIR
[000:05:49;849] APARTMENT DURING THE
[000:05:51;351] QUAKE.
[000:05:51;884] HERE IS WHAT IT LOOKED
[000:05:53;953] LIKE BEFORE THE
[000:05:55;521] TREMOR, THIS IS WHAT'S
[000:05:56;289] LEFT NOW.
[000:05:59;158] >> I WAS SHAKING A LOT
[000:06:01;260] MORE VIOLENTLY THAN
[000:06:05;932] I'VE EVER SEEN.
[000:06:08;000] >> ELIZABETH WAS
[000:06:11;137] BURIED THIS MORNING.
[000:06:12;672] STORIES OF HEART BREAK
[000:06:14;774] AND TALES OF
[000:06:15;408] INCREDIBLE SURVIVAL
[000:06:16;142] CONTINUE TO PLAY OUT
[000:06:16;909] HERE.
[000:06:17;410] NOW, FOUR DAYS LATER,
[000:06:18;177] BEING PULLED FROM THE
[000:06:18;945] RUBBLE ALIVE WOULD BE
[000:06:19;712] A MIRACLE.
[000:06:22;548] THE WORK HERE IS
[000:06:23;249] BACKBREAKING, THEY'RE
[000:06:24;117] USING PICKS, SHOVELS
[000:06:27;754] AND IN SOME CASES,
[000:06:28;488] THEIR HANDS.
[000:06:29;088] TONIGHT, L.A. COUNTY'S
[000:06:29;856] ELITE FIRE AND RESCUE
[000:06:31;391] TEAM IS DEPLOYED TO
[000:06:33;993] FIND THE MISSING.
[000:06:35;561] >> WHEN CONCRETE AND
[000:06:36;329] REBAR COLLAPSE AND
[000:06:37;130] CRUMBLE, IT'S LIKE A
[000:06:37;897] SPIDER'S WEB, NOTHING
[000:06:38;664] IS EASY.
[000:06:39;198] >> Reporter: THE TEAM
[000:06:39;966] JUST WORKING YARDS
[000:06:40;700] FROM WHERE THE MENDOZA
[000:06:42;335] FAMILY ARE CAMPING.
[000:06:43;870] DESPERATE FOR
[000:06:47;006] INFORMATION ABOUT HER
[000:06:48;574] COUSIN WHO WAS ON THE
[000:06:49;342] FOURTH FLOOR OF THIS
[000:06:50;109] EMPLOYMENT CENTER WHEN
[000:06:50;877] IT CRUMBLED.
[000:06:51;477] >> WE DON'T KNOW WHAT
[000:06:52;245] TO DO.
[000:06:52;745] IT'S TOUGH FOR
[000:06:56;349] EVERYBODY.
[000:06:59;485] NOT ONLY PHYSICALLY,
[000:07:00;253] BUT MENTALLY,
[000:07:00;887] EMOTIONALLY.
[000:07:01;487] >> Reporter: THE
[000:07:02;188] DESPERATE CLINGING TO
[000:07:02;955] HOPE, AS EVERY DAY
[000:07:03;689] PRECIOUS TIME SLIPS
[000:07:04;424] AWAY MANY.
[000:07:04;991] THE DAMAGE FROM
[000:07:07;293] TODAY'S 6.2 QUAKE
[000:07:07;994] AFTERSHOCK WAS FELT
[000:07:09;896] SOME 300 MILES AWAY,
[000:07:10;663] IT WAS MINIMAL
[000:07:14;567] CONSIDERING ITS SIZE.
[000:07:17;670] IT THIS COUNTRY HAS
[000:07:18;404] BEEN SHAKEN, A
[000:07:19;071] DISASTER CAN HAPPEN AT
[000:07:19;839] ANY MOMENT.
[000:07:20;440] >>> KIM JONG-UN CALLED
[000:07:24;944] THE PRESIDENT A
[000:07:26;512] MENTALLY DERANGED
[000:07:27;213] PERSON.
[000:07:34;020] THIS FOLLOWS THE
[000:07:34;921] PRESIDENT'S THREAT TO
[000:07:35;988] TOTALLY DESTROY NORTH
[000:07:37;356] KOREA IF PROVOKED.
[000:07:38;491] WE GET MORE FROM KELLY
[000:07:40;059] O'DONNELL.
[000:07:42;128] >> Reporter: IN NORTH
[000:07:42;895] KOREA'S CAPITAL, A
[000:07:43;696] CITIZENS RALLY AGAINST
[000:07:44;464] THE UNITED STATES.
[000:07:45;765] A MASSIVE
[000:07:46;833] CHOREOGRAPHED MARCH.
[000:07:50;470] NEAR NORTH KOREA, U.S.
[000:07:52;538] AIR FORCE B-1 BOMBERS
[000:07:53;573] AND FIGHTER ESCORTS
[000:07:54;607] LIKE THESE, FLEW
[000:07:55;675] FURTHER NORTH OVER
[000:07:56;409] INTERNATIONAL WATERS
[000:07:59;312] THAN AT ANY TIME IN
[000:08:00;046] ALMOST 20 YEARS.
[000:08:03;449] >> AND WE CAN'T HAVE
[000:08:04;484] MAD MEN OUT THERE
[000:08:06;052] SHOOTING ROCKETS ALL
[000:08:08;120] OVER THE PLACE.
[000:08:09;689] >> Reporter: COMPETING
[000:08:10;723] RHETORIC CONTINUED
[000:08:13;326] TOO.
[000:08:13;860] IN ALABAMA FRIDAY
[000:08:14;560] NIGHT, THE PRESIDENT
[000:08:15;928] SAID HE CONTAINED KIM
[000:08:16;696] JONG-UN'S NUCLEAR
[000:08:17;396] THREATS.
[000:08:23;202] >> LITTLE ROCKET MAN.
[000:08:23;970] WE'RE GOING TO DO IT.
[000:08:24;737] BECAUSE WE REALLY HAVE
[000:08:25;505] NO CHOICE.
[000:08:26;072] >> Reporter: TODAY AT
[000:08:26;839] THE UNITED NATIONS,
[000:08:27;573] NORTH KOREAN'S FOREIGN
[000:08:28;407] MINISTER LASHED OUT,
[000:08:29;175] CALLING PRESIDENT
[000:08:29;876] TRUMP MENTALLY
[000:08:30;543] DERANGED, CLAIMING THE
[000:08:31;544] PRESIDENT'S INSULTS
[000:08:32;578] MAKE A ROCKET ATTACK
[000:08:33;346] ON THE U.S. MAINLAND
[000:08:34;647] MORE INEVITABLE.
[000:08:36;215] ESCALATING WORDS,
[000:08:38;818] EXPERTS CALL
[000:08:39;452] DANGEROUS.
[000:08:40;386] >> THE MORE HE
[000:08:41;053] BELITTLES KIM JONG-UN
[000:08:50;763] ON A WORLD STAGE, THE
[000:08:51;531] MORE KIM JONG-UN HAS
[000:08:52;331] TO RESPOND, TO SHOW
[000:08:53;065] THAT HE WON'T BE
[000:08:53;766] DISRESPECTED AND HE
[000:08:54;500] WON'T BE
[000:08:55;067] UNDERESTIMATED.
[000:08:55;735] AND HE WON'T BE
[000:08:56;402] INTIMIDATED.
[000:08:57;003] >> Reporter: STILL,
[000:08:57;737] ANOTHER MILITARY
[000:08:58;437] DISPLAY, THIS TIME IN
[000:08:59;205] IRAN, WHERE THE
[000:09:00;139] REVOLUTIONARY GUARD
[000:09:00;907] UNVEILED A NEW
[000:09:01;707] BALLISTIC MISSILE,
[000:09:02;441] CAPABLE OF REACHING
[000:09:03;175] ISRAEL.
[000:09:06;379] >> THIS LATEST TEST
[000:09:07;947] SENDS A STRONG SIGNAL
[000:09:08;981] FROM PRESIDENT TRUMP
[000:09:10;550] STRAIGHT FROM THE
[000:09:11;250] NORTH KOREAN PLAYBOOK.
[000:09:12;618] LESS THAN A MONTH
[000:09:13;319] BEFORE THE NEW IRAN
[000:09:14;687] NUCLEAR DEAL HAS TO BE
[000:09:15;454] CERTIFIED AGAIN.
[000:09:16;255] A RISKY MOVE THAT
[000:09:16;956] COULD BACKFIRE.
[000:09:18;324] >> Reporter: THE
[000:09:19;025] PRESIDENT RESPONDED TO
[000:09:20;426] IRAN'S TEST ON
[000:09:21;093] TWITTER, SAYING NOT
[000:09:21;961] MUCH OF AN AGREEMENT
[000:09:23;029] THAT WE HAVE.
[000:09:23;663] THE PRESIDENT HAS
[000:09:25;097] UNTIL MID OCTOBER TO
[000:09:26;132] TELL CONGRESS IF HE
[000:09:27;199] BELIEVES IRAN IS IN
[000:09:28;234] COMPLIANCE WITH THE
[000:09:30;303] NUCLEAR DEAL.
[000:09:32;371] IF NOT, NEW SANCTIONS
[000:09:33;940] COULD BE IMPOSED.
[000:09:34;640] HE SAID HE'S MADE UP
[000:09:35;408] HIS MIND BUT HAS NOT
[000:09:36;175] YET DISCLOSED HIS
[000:09:37;577] DECISION.
[000:09:38;144] >> KELLY O'DONNELL,
[000:09:38;878] THANK YOU VERY MUCH.
[000:09:39;612] >>> SOME BIG NAMES IN
[000:09:40;379] SPORTS ARE FEUDING
[000:09:41;213] TONIGHT WITH THE
[000:09:42;248] PRESIDENT WHO SAID NFL
[000:09:43;015] TEAM OWNERS SHOULD
[000:09:45;885] FIRE PLAYERS WHO
[000:09:50;556] REFUSE TO STAND FOR
[000:09:51;624] THE NATIONAL ANTHEM.
[000:09:54;226] HIS LANGUAGE WAS MUCH
[000:09:56;796] MORE EXPLICIT THAN
[000:09:58;898] THAT.
[000:09:59;932] THE HARSH EXCHANGES
[000:10:00;666] DID NOT STOP WITH
[000:10:01;400] FOOTBALL.
[000:10:01;968] >> Reporter: THE
[000:10:03;069] PRESIDENT NOW PICKING
[000:10:05;137] A FIGHT WITH
[000:10:06;172] PROFESSIONAL ATHLETES.
[000:10:08;240] >> WOULDN'T YOU LOVE
[000:10:09;008] TO SEE ONE OF THESE
[000:10:09;742] NFL OWNERS WHEN
[000:10:10;409] SOMEONE DISRESPECTS
[000:10:11;143] OUR FLAG, TO SAY, GET
[000:10:15;014] THAT SON OF A BITCH
[000:10:15;748] OFF THE FIELD RIGHT
[000:10:16;482] NOW.
[000:10:16;949] OUT, HE'S FIRED.
[000:10:17;617] HE'S FIRED!
[000:10:18;217] >> Reporter: TAKING
[000:10:19;185] AIM AT PLAYERS LIKE
[000:10:19;919] COLIN KAEPERNICK, WHO
[000:10:20;686] PROTESTED THE
[000:10:21;787] TREATMENT OF BLACKS BY
[000:10:22;555] POLICE BY TAKING A
[000:10:23;289] KNEE DURING THE
[000:10:23;956] NATIONAL ANTHEM LAST
[000:10:24;724] YEAR.
[000:10:25;224] ROGER GOODELL
[000:10:26;993] TWEETING, DIVISIVE
[000:10:28;027] COMMENTS LIKE THESE
[000:10:30;096] DEMONSTRATE A LACK OF
[000:10:31;664] RESPECT FOR THE NFL,
[000:10:33;232] OUR GREAT GAME AND ALL
[000:10:34;000] OUR PLAYERS.
[000:10:35;301] KAEPERNICK'S MOM WITH
[000:10:36;102] THIS RESPONSE.
[000:10:36;736] THE GOLDEN STATE
[000:10:38;404] WARRIORS STAR PLAYER
[000:10:44;644] STEPH CURRY AND HIS
[000:10:45;378] TEAMMATES WERE ALREADY
[000:10:46;212] CONSIDERING NOT GOING
[000:10:47;246] TO THE WHITE HOUSE TO
[000:10:48;814] CELEBRATE THEIR NBA
[000:10:49;548] TITLE.
[000:10:50;049] >> THE PRESIDENT, THE
[000:10:50;883] THINGS THAT HE HAS
[000:10:51;617] SAID AND THE THINGS HE
[000:10:52;385] HASN'T SAID IN THE
[000:10:53;119] RIGHT TIMES, THAT WE
[000:10:53;886] WON'T STAND FOR IT.
[000:10:54;620] >> Reporter: THIS
[000:10:55;321] MORNING THE PRESIDENT
[000:10:56;088] RESPONDED.
[000:10:56;656] GOING TO THE WHITE
[000:10:57;390] HOUSE IS CONSIDERED A
[000:10:58;157] GREAT HONOR FOR THE
[000:10:58;891] CHAMPIONSHIP TEAM.
[000:10:59;792] STEPHAN CURRY IS
[000:11:00;826] HESITATING, THEREFORE,
[000:11:01;594] THE INVITATION IS
[000:11:02;395] WITHDRAWN.
[000:11:06;032] >> IT'S JUST KIND OF
[000:11:07;066] BENEATH THE LEADER OF
[000:11:07;833] A COUNTRY TO GO THAT
[000:11:09;669] ROUTE.
[000:11:10;202] IT'S NOT WHAT LEADERS
[000:11:10;970] DO.
[000:11:11;470] >> Reporter: LeBRON
[000:11:12;204] JAMES WEIGHED IN
[000:11:12;905] CALLING THE PRESIDENT
[000:11:13;839] A BUM.
[000:11:15;908] STEPH CURRY SAID HE
[000:11:16;942] ALREADY AIN'T GOING,
[000:11:17;977] SO, THEREFORE, NO
[000:11:18;678] INVITE.
[000:11:19;211] THE BACK AND FORTH
[000:11:21;113] WHEN PRESIDENT TRUMP
[000:11:21;881] IS UNDER FIRE FOR HIS
[000:11:22;648] HANDLING OF RACIAL
[000:11:23;382] TENSIONS.
[000:11:26;852] IN THE LATEST POLL,
[000:11:27;887] 25% OF AMERICANS
[000:11:28;587] APPROVE OF HOW MR.
[000:11:29;422] TRUMP IS HANDLING RACE
[000:11:30;189] RELATIONS.
