[000:04:42;081] AT BRIARWOOD ELEMENTARY, THEY
[000:04:43;149] ALL GOT OUT.
[000:04:44;751] CINDY LOWE TEACHES FIRST GRADE.
[000:04:46;886] SHE OPENED HER DOOR AND SAW THE
[000:04:47;954] TORNADO COME.
[000:04:50;790] YOU SAW IT COMING RIGHT AT YOU?
[000:04:52;992] >> COMING RIGHT FOR THE SCHOOL.
[000:04:54;794] RAN OVER AND GOT ON TOP OF THE
[000:04:55;561] KIDS.
[000:04:56;195] SAID THIS IS NOT A DRILL.
[000:04:57;797] >> Reporter: ONE OF THOSE
[000:04:58;498] CHILDREN, HER OWN SON.
[000:05:03;069] HER BODY ON TOP OF HIS AND
[000:05:05;605] SEVERAL OTHERS AS THEY CRIED FOR
[000:05:06;939] THEIR MOMS.
[000:05:07;440] >> THEY HAD DESKS AND CHAIRS AND
[000:05:08;241] TABLES COVERING THEM.
[000:05:08;875] >> Reporter: AND TEACHER?
[000:05:09;542] >> AND TEACHER.
[000:05:10;109] >> Reporter: JUST ACROSS THE
[000:05:11;678] WAY, SHERRY URGED HER FIRST
[000:05:12;712] GRADERS TO USE THEIR BACKPACKS
[000:05:14;314] AS SHIELDS.
[000:05:16;449] >> THEY WERE COVERING THEIR
[000:05:18;584] HEADS WITH THEIR BACKPACKS.
[000:05:20;186] >> Reporter: WHAT WERE THE KIDS
[000:05:21;220] SAYING DURING ALL THIS?
[000:05:22;288] >> I WANT MY MOM.
[000:05:23;323] >> Reporter: THEIR SCHOOL IS
[000:05:24;023] DESTROYED TOO.
[000:05:25;458] HOW DID ALL THE CHILDREN THERE
[000:05:27;026] GET OUT WHEN SOME OF THE
[000:05:30;863] STUDENTS AT PLAZA TOWERS DID
[000:05:34;667] NOT?
[000:05:35;068] SHE BELIEVES IT WAS BECAUSE HER
[000:05:39;972] SCHOOL WAS CONSTRUCTED
[000:05:40;973] DIFFERENTLY.
[000:05:41;474] EACH GRADE ORGANIZED INTO PODS,
[000:05:42;241] A FEW CLASSROOMS IN EACH
[000:05:42;909] BUILDING.
[000:05:43;409] AT THE CENTER OF THOSE BUILDINGS
[000:05:44;110] AN OPENING TO THE OUTDOORS.
[000:05:45;578] WHEN EVERYTHING COLLAPSED, THEY
[000:05:46;646] WERE ABLE TO CRAWL OUT THROUGH
[000:05:47;680] THE OPEN AREA IN THE MIDDLE,
[000:05:48;748] PASSING THE CHILDREN OVER THE
[000:05:49;449] RUBBLE.
[000:05:50;383] UNLIKE PLAZA TOWERS ELEMENTARY,
[000:05:51;984] MORE TRADITIONAL WITH A LONG
[000:05:53;553] LINE OF CLASSROOMS UNDER ONE
[000:05:54;587] ROOF.
[000:05:56;222] WHEN IT COLLAPSED, THE ROOF AND
[000:05:57;790] WALLS PILING ON TOP OF ONE
[000:05:58;858] ANOTHER, NO OPENING IN THE
[000:06:00;426] MIDDLE, LIKE THOSE PODS.
[000:06:04;831] TO CRAWL OUT FROM.
[000:06:05;398] TONIGHT AS THEY CONTINUE TO
