[000:08:18;197] >> I WAS GOING TO DIE.
[000:08:19;198] IF THIS IS IT, HAD TO
[000:08:20;233] SAY GOOD-BYE.
[000:08:21;801] >> Reporter: BUT THE
[000:08:22;835] CALL HOME WAS
[000:08:23;469] INTERRUPTED BY A GOOD
[000:08:24;237] SAMARITAN.
[000:08:25;938] THE MAN WITH A MOTIVE
[000:08:27;507] TO KILL STILL FIRING
[000:08:28;541] FROM HIS 32nd FLOOR
[000:08:29;275] SNIPER'S NEST.
[000:08:31;143] NOW ANOTHER MAN WITH A
[000:08:33;212] MISSION TO SAVE
[000:08:34;280] CARRIED THE MOTHER OF
[000:08:35;047] FOUR AWAY FROM HARM.
[000:08:36;349] >> YEP.
[000:08:36;883] MY GUARDIAN ANGEL
[000:08:37;583] SHOWED UP.
[000:08:39;986] HIS NAME'S SHAUN.
[000:08:41;554] AND HE PICKED ME UP.
[000:08:44;657] HE PICKED ME UP AND
[000:08:45;391] CARRIED ME OUT OF
[000:08:46;726] THERE.
[000:08:47;260] >> Reporter: SHAUN
[000:08:48;294] TOPPER FLAGGING DOWN A
[000:08:49;061] CAR, RIDING WITH HER
[000:08:50;396] TO THE HOSPITAL.
[000:08:51;430] INCREDIBLY THE BULLET
[000:08:52;465] HAD PASSED THROUGH HER
[000:08:53;232] WITHOUT HITTING ANY
[000:08:53;966] VITAL ORGANS.
[000:08:55;568] WHEN YOU THINK ABOUT
[000:08:57;670] THE FACT, KAREN, THAT
[000:08:58;437] YOU WERE IN THIS
[000:08:59;138] SITUATION.
[000:08:59;739] YOU WERE PROBABLY
[000:09:00;473] BLEEDING
[000:09:01;807] SIGNIFICANTLY.
[000:09:02;842] >> I WAS BLEEDING TO
[000:09:03;609] DEATH.
[000:09:04;410] IF HE DIDN'T GET ME
[000:09:05;444] HERE, I WOULD HAVE
[000:09:06;178] DIED.
[000:09:07;547] >> Reporter: TODAY WE
[000:09:08;314] WERE THERE WHEN SHAUN
[000:09:09;115] STOPPED BY.
[000:09:11;183] ON HIS 24th BIRTHDAY,
[000:09:12;752] HE'S AT THE BEDSIDE
[000:09:13;786] AND SAYS THERE'S NO
[000:09:14;520] BETTER GIFT THAN
[000:09:15;855] SEEING HER RECOVER.
[000:09:16;889] >> WHETHER WE LIKE IT
[000:09:17;690] OR NOT, OUR LIVES ARE
[000:09:18;991] INTERTWINED FOREVER.
[000:09:20;560] >> YEAH.
[000:09:21;093] >> Reporter: SHAUN
[000:09:21;827] WON'T ACCEPT A HERO
[000:09:22;628] TITLE FOR WHAT HE DID
[000:09:23;396] THAT NIGHT.
[000:09:23;996] HE SAW HER AND
[000:09:25;231] REACTED.
[000:09:25;765] BUT SMERBER'S HUSBAND
[000:09:27;300] MATT SAYS HE DESERVES
[000:09:28;067] THAT AND MORE.
[000:09:29;902] >> I'M STILL MARRIED
[000:09:32;004] TODAY AND MY KIDS HAVE
[000:09:33;039] THEIR MOM AND STEP-MOM
[000:09:37;176] AND BECAUSE OF ONE
[000:09:37;910] HEROIC PERSON.
[000:09:38;744] >> Reporter: NOW
[000:09:39;445] MAKING A STRONG
[000:09:40;813] RECOVERY, THE MOMENTS
[000:09:41;881] OF TERROR HAUNT
[000:09:43;950] SMERBER'S DREAMS, BUT
[000:09:44;984] WHEN SHE AWAKES SHE
[000:09:46;018] HOLDS ON TO ANOTHER
[000:09:48;120] MEMORY, THE MOMENT A
[000:09:49;155] STRANGER PICKED HER UP
[000:09:50;189] AND SAVED HER LIFE.
[000:09:51;757] CATIE BECK, NBC NEWS,
[000:09:52;525] LAS VEGAS.
[000:09:55;394] >>> PRESIDENT TRUMP
[000:09:56;929] AND THE FIRST LADY, AS
[000:09:57;697] WE SAID EARLIER, MADE
[000:09:59;031] THEIR WAY HERE TO LAS
[000:10:00;066] VEGAS TODAY MEETING
[000:10:01;100] WITH VICTIMS AND THEIR
[000:10:01;867] FAMILIES, THANKING
[000:10:02;668] FIRST RESPONDERS AND
[000:10:04;737] MEDICAL STAFF OF THEIR
[000:10:05;771] HEROIC EFFORTS AND
[000:10:07;340] DELIVERING A MESSAGE
[000:10:08;374] FROM THE NATION TO
[000:10:09;108] THIS HEARTBROKEN CITY.
[000:10:10;476] >> WE KNOW THAT YOUR
[000:10:11;510] SORROW FEELS ENDLESS.
[000:10:13;579] WE STAND TOGETHER TO
[000:10:15;147] HELP YOU CARRY YOUR
[000:10:15;881] PAIN.
[000:10:17;750] YOU'RE NOT ALONE.
[000:10:18;451] WE WILL NEVER LEAVE
[000:10:19;285] YOUR SIDE.
[000:10:22;421] >> PRESIDENT TRUMP
[000:10:25;024] TODAY HERE IN LAS
[000:10:25;725] VEGAS.
[000:10:27;093] MUCH MORE FROM LAS
[000:10:28;661] VEGAS AS WE CONTINUE
[000:10:29;428] IN A MOMENT.
[000:10:32;298] >>> BUT BACK IN
[000:10:34;900] WASHINGTON, PRESIDENT
[000:10:35;935] TRUMP IS RETURNING TO
[000:10:36;969] NEW FALLOUT FROM OUR
[000:10:38;537] NBC NEWS EXCLUSIVE
[000:10:39;572] REPORT REVEALING HIGH
[000:10:40;339] TENSIONS BETWEEN HIM
[000:10:41;140] AND HIS SECRETARY OF
[000:10:41;907] STATE REX TILLERSON.
[000:10:44;243] TONIGHT, TILLERSON IS
[000:10:45;277] FIRING BACK AFTER
[000:10:46;879] MULTIPLE OFFICIAL
[000:10:47;580] SOURCES TOLD NBC NEWS
[000:10:48;914] HE CAME TO THE BRINK
[000:10:49;682] OF RESIGNING OVER THE
[000:10:50;483] SUMMER AND THE
[000:10:51;517] SECRETARY RESPONDING
[000:10:52;585] TO ANOTHER EXPLOSIVE
[000:10:54;120] DETAIL IN OUR
[000:10:54;754] REPORTING, THAT HE
[000:10:55;688] INSULTED THE PRESIDENT
[000:10:56;722] IN FRONT OF OTHER
[000:10:57;757] OFFICIALS.
[000:10:58;824] LET'S GET MORE FROM
[000:10:59;558] NBC'S ANDREA MITCHELL.
[000:11:01;427] >> Reporter: TONIGHT,
[000:11:02;461] SECRETARY OF STATE REX
[000:11:03;229] TILLERSON COMING OUT
[000:11:04;030] TO RESPOND TO AN NBC
[000:11:05;064] NEWS REPORT ABOUT
[000:11:06;098] FRICTION WITH THE
[000:11:07;133] PRESIDENT AND THAT HE
[000:11:08;167] WAS ON THE VERGE OF
[000:11:08;901] RESIGNING THIS SUMMER.
[000:11:10;269] >> THERE ARE SOME NEWS
[000:11:11;037] REPORTS THIS MORNING
[000:11:11;804] THAT I WANT TO
[000:11:12;872] ADDRESS.
[000:11:13;406] >> Reporter: BUT
[000:11:14;106] STOPPING SHORT OF A
[000:11:15;474] FULL DENIAL.
[000:11:16;509] >> THERE'S NEVER BEEN
[000:11:17;276] A CONSIDERATION IN MY
[000:11:18;577] MIND TO LEAVE.
[000:11:19;612] >> Reporter: BUT
[000:11:20;312] SENIOR ADMINISTRATION
[000:11:21;180] OFFICIALS CONFIRM TO
[000:11:22;214] NBC NEWS TILLERSON
[000:11:23;249] THREATENED TO RESIGN
[000:11:24;283] IN JULY.
[000:11:24;817] THE BOILING POINT, THE
[000:11:25;851] PRESIDENT'S HIGHLY
[000:11:26;886] POLITICAL SPEECH TO
[000:11:27;953] THE BOY SCOUTS, A
[000:11:28;988] GROUP TILLERSON ONCE
[000:11:30;523] LED.
[000:11:31;057] >> WE WON FLORIDA, WE
[000:11:32;091] WON SOUTH CAROLINA, WE
[000:11:32;858] WON NORTH CAROLINA, WE
[000:11:34;694] WON PENNSYLVANIA.
[000:11:35;394] >> Reporter: JUST DAYS
[000:11:36;262] EARLIER TILLERSON EVEN
[000:11:37;296] CALLED THE PRESIDENT A
[000:11:38;064] MORON AFTER A PENTAGON
[000:11:38;864] MEETING, ACCORDING TO
[000:11:39;632] THREE SENIOR
[000:11:40;433] OFFICIALS.
[000:11:41;000] TILLERSON TODAY NOT
[000:11:42;501] DENYING THAT.
[000:11:43;135] >> I'M NOT GOING TO
[000:11:44;070] DEAL WITH PETTY STUFF
[000:11:45;604] LIKE THAT.
[000:11:46;172] >> Reporter: THE
[000:11:47;173] PRESIDENT IN LAS VEGAS
[000:11:47;940] TODAY LABELING THE NBC
[000:11:49;241] REPORT FAKE NEWS.
[000:11:49;942] >> IT WAS A TOTALLY
[000:11:50;676] PHONY STORY.
[000:11:51;377] THANK YOU VERY MUCH.
[000:11:52;111] IT WAS MADE UP.
[000:11:52;878] IT WAS MADE UP BY NBC.
[000:11:53;646] TOTAL CONFIDENCE IN
[000:11:54;380] REX.
[000:11:54;980] I HAVE TOTAL
[000:11:56;515] CONFIDENCE.
[000:11:57;116] >> Reporter: BUT
[000:11:58;084] MULTIPLE SOURCES TELL
[000:11:58;851] NBC TILLERSON DID
[000:11:59;652] DISPARAGE THE
[000:12:01;220] PRESIDENT AND ALSO
[000:12:02;755] TALKED ABOUT QUITTING
[000:12:03;522] REPORTS NBC'S CAROL
[000:12:04;323] LEE.
[000:12:04;857] >> KELLY AND MATTIS
[000:12:05;891] MOVED IN TO TRY TO
[000:12:06;625] CONVINCE HIM TO STICK
[000:12:07;460] AROUND.
[000:12:10;563] AND THEN VICE
[000:12:11;597] PRESIDENT PENCE
[000:12:12;665] FOLLOWED UP WITH WHAT
[000:12:14;200] ONE SOURCE DESCRIBED
[000:12:14;967] TO US AS A PEP TALK.
[000:12:15;701] >> Reporter: IN FACT,
[000:12:16;469] TILLERSON AND THE
[000:12:17;169] PRESIDENT HAVE CLASHED
